Sexo;Estado;Cidade;Força;Posto Graduação;Possui Medalha de <br /> Mérito Desportivo Militar;Modalidade;Possui Bolsa Atleta;PAAR
Masculino;SP;São Caetano;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Sim;Atletismo;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Natação;Sim;Sim
Feminino;;;MB;Terceiro Sargento;Não;Vela;Não;Sim
Masculino;RS;Santa Maria;EB;Soldado;Não;Futebol;Não;Sim
Masculino;RN;AÇU;MB;Terceiro Sargento;Não;Taekwondo;Sim;Sim
Masculino;SP;São Paulo;MB;Terceiro Sargento;Não;Natação;Sim;Sim
Feminino;;;EB;Terceiro Sargento;Sim;Natação;Sim;Sim
Feminino;SP;Caieiras;FAB;Terceiro Sargento;Não;Basquete;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Futebol;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Basquete;Não;Sim
Masculino;;;EB;Terceiro Sargento;Não;Natação;Não;Sim
Masculino;;;FAB;Terceiro Sargento;Não;Natação;Sim;Sim
Masculino;;;EB;Terceiro Sargento;Não;Vôlei;Não;Sim
Masculino;SP;São Paulo ;EB;Terceiro Sargento;Não;Judô;Não;Sim
Masculino;;;EB;Soldado;Não;Futebol;Não;Sim
Masculino;SP;ITU;MB;Terceiro Sargento;Sim;Golfe;Não;Sim
